shortcode,url,type,taken_at,timestamp,views,likes,comments,duration,caption,thumbnail
DanSAIqp4kn,https://www.instagram.com/reel/DanSAIqp4kn/,clips,2026-07-10T13:20:00.000Z,1783689600,,2523,109,,resumindo: seu próximo vídeo pode MUDAR SUA VIDA!,https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.82787-15/742839099_18568141246070133_7005042015956335677_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkzODE5NTU3MzMwMTU0NTI1NTE4NTY4MTQxMjQzMDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Itp0Yq5iHMAQ7kNvwGEoob6&_nc_oc=Adq1Bj_vCJwSSihwpXqLenaoCB1nfYxc-dWJIkoD7HRFqnEUqZbmpXTmxPoYVlH-_vQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=kq1E-HT3L_t_PfdIEQrixA&_nc_ss=7a22e&oh=00_AQBQzBzL6x7bg8KSevcE6CI2pLDpnqMSP39Ijv3KHVj0zQ&oe=6A6808FD
DaQuTaeJgmD,https://www.instagram.com/reel/DaQuTaeJgmD/,clips,2026-07-01T19:08:09.000Z,1782932889,,4028,86,,hacks de engajamento que não valem a pena perder energia com eles ❌ querem saber aqueles que valem seu tempo? ✅😮‍💨,https://instagram.fbfh3-2.fna.fbcdn.net/v/t51.82787-15/731053524_18565853869070133_1635801700263301934_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=MzkzMTg0NjExODkyNzEwODQ4MzE4NTY1ODUzODY2MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=DXIFshCWtFcQ7kNvwFfKgrx&_nc_oc=Adq92nZaerTAdn-hEsg7EGu27yU9t_7023qwBKInzVBL23FhKDVybgOtt1NBMEvzGaQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-2.fna&_nc_gid=kq1E-HT3L_t_PfdIEQrixA&_nc_ss=7a22e&oh=00_AQBDSfbv-TqgVNgDREFHERkdpqE3BivIVlx-gHm-cnOeUQ&oe=6A6807EB
DZnOITbyT7v,https://www.instagram.com/reel/DZnOITbyT7v/,clips,2026-06-15T16:15:24.000Z,1781540124,,9036,53,,"É um ABSURDO como diálogo e empatia simplesmente transformam qualquer relação, testem! 🧡",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/723931245_1570014811386720_3969781568834587830_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=MzkyMDE2NDE0MzkyMzU0Mzc5MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=0ZoHIloJvGQQ7kNvwGZg6ZU&_nc_oc=AdoPmkJqOYyZxBSblwuJVcKzUtC65hcxLZnqarl7yiVGRvZhTldave6hYfGX9C-cHJY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQCCKcjjI9Kab2bAv6vTb9Er5pUI1gdF2vmBSjpt9YbsCg&oe=6A681BB2
DZI7De9Mgoo,https://www.instagram.com/reel/DZI7De9Mgoo/,clips,2026-06-03T21:53:30.000Z,1780523610,,63750,394,,"A @gabriellajacinto cria de forma tão autêntica que cada uma de nós sentimos que a fazemos parte não só do seu conteúdo, mas da sua vida pessoal. Sorrimos com ela, choramos e vibramos com cada avanço da nossa melhor amiga Thiaga 💖",https://instagram.fbfh3-2.fna.fbcdn.net/v/t51.71878-15/716722553_1537388151297218_831589947655413549_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=MzkxMTYzNjAwMDUxMjgwNTQxNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=WDAvb1BLMysQ7kNvwEbY-iD&_nc_oc=AdqdZWUk7ctJTOzUKyzfZg5pXCNs1cGBlzXGHaJ78W-LQbSxJyk7x-X3s7-rJ-Pqnk8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-2.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQCzrCYwsK6dJ6ojcJ0lcUj2Bi82SC6fqhbZEue3Q3cMxw&oe=6A681C65
DY-EB7tOQnW,https://www.instagram.com/reel/DY-EB7tOQnW/,clips,2026-05-30T16:39:27.000Z,1780159167,,14219,91,,O relacionamento é um grande espelho que reflete os problemas internos que você precisa corrigir em você. Quando você para de ACUSAR e decide MUDAR tudo se transforma ✨,https://instagram.fbfh3-2.fna.fbcdn.net/v/t51.71878-15/709736590_1933242530690499_4595448155863219773_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=MzkwODU3OTI1MTYxOTE3MDc3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=GSAfSddWV_EQ7kNvwFXluln&_nc_oc=AdrENtNoO2F3-FRpNbFSUqjMrxrJfZkKKf0fAPvmZUXAKbxFGMzTtF1uYuL_SiROZ3A&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-2.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQAbBWhMeg929PqVXWrT2qlb7wicyZ5UaOGTZ5YFnSNnQA&oe=6A680407
DYz2YWbNytg,https://www.instagram.com/reel/DYz2YWbNytg/,clips,2026-05-26T17:29:37.000Z,1779816577,,34893,157,,"Ele é um artista tão completo que não me surpreende ser tão bom criando conteúdo! Me faltou tempo de vídeo para dizer todas as coisas que aprendo com o @illumiro - eu pessoalmente não perco 1 vídeo e amo cada formato que ele cria, inclusive Lumi, saudades da criatividade em pessoa 💜",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/708333722_2398859343943657_2655282137984731366_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkwNTcwNDQ2OTcxODMxMzgyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=B8MRe_ytWkIQ7kNvwFSPXOM&_nc_oc=AdqPaUCZYIllL16Nk39xZwFsAU5nDC84abPgLEx182FGb9rlk0pIMArKSmkcsg72rYY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQB8hU-W6kRwguCTbj_4DP9Z4jMxXG3nwqV1u_npGHjV8g&oe=6A681029
DYko7TgNDxF,https://www.instagram.com/reel/DYko7TgNDxF/,clips,2026-05-20T19:44:51.000Z,1779306291,,19135,59,,"quando aprendemos isso em casal, conseguimos lidar melhor até no relacionamento com nós mesmos.",https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.71878-15/704032372_27136223522639687_8761587233247426792_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkwMTQyMzE3NDQ2MDY1MjYxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=xEJG2P27Gj4Q7kNvwGHG7U-&_nc_oc=AdoVb5wAljmfCgUAjY0a9h0pVii9tOohTCEzg36g9qnYDWgdnliAvOBkYA87ajkto98&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQDH8FuGVQw8e5GY24eYVA6xlFV371thLL4LtwZlMRtpmQ&oe=6A67F475
DYSMw8NNxBd,https://www.instagram.com/reel/DYSMw8NNxBd/,clips,2026-05-13T16:18:00.000Z,1778689080,,16492,89,,mudanças 💗,https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/696907798_983240447532080_8423050933850459902_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzg5NjIzMjc2NzM2ODEzODg0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=TI4R4OJsvh8Q7kNvwExrVCC&_nc_oc=AdrctD_dg4yArySIy5VT2bfOlwtNjsZZrxaz_YTKTgP79zdjCrERrqmyGsm1_8owcYw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQBOfwa5kMzIe4NsQtTzZp-9qzWfKr1PkE_EWRXDxzNKtw&oe=6A67FAEF
DYCvRxZtuBS,https://www.instagram.com/reel/DYCvRxZtuBS/,clips,2026-05-07T15:46:50.000Z,1778168810,,22881,104,,"eu já me sentia amiga da Carol e muito antes de conhecer ela pessoalmente, isso acontece porque ela é A MELHOR em usar o conteúdo para gerar conexão! o Efeito Jornada não me deixa pular nada que ela posta, afinal, agora sou titia virtual da pequena Meimei! 💖🐰✨",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/683833302_953445964142449_2032995240406051021_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzg5MTg4MDk1NzQ2MzQyMTAxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=wjhgSYQ4imAQ7kNvwEJiK6J&_nc_oc=AdovWMxP_SvuAl1acLcoSyoaoYn-NevgEU6FvU2O0HyZs_CYl-FY9o_BY19fMghgx40&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQAQbzSWq5I0RfaCPvCPTAKGG69ptjxSNk-aD6xOiBM-zQ&oe=6A6803DE
DX5FXQPhWZF,https://www.instagram.com/reel/DX5FXQPhWZF/,clips,2026-05-03T21:44:58.000Z,1777844698,,658711,2032,,amor é decisão. ❤️,https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.71878-15/658387905_2435812846930352_6685668066526694339_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzg4OTE2MzM0MTQzMTkyNDI5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=_SER-K9wvjIQ7kNvwEDuOzb&_nc_oc=Adp0UeN5Nxj55wmlmCc8YjF6RzXVjpdkfabuvRbTlgHeq09kR5PGE0Nxb4bEmm5-cqY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=yyxFPrO0QNbmR9PvxIRicA&_nc_ss=7a22e&oh=00_AQAU7AQMn3RF54KlD6o4znDFUEtw15XiszFLGbssiN_RRA&oe=6A680B38
