shortcode,url,type,taken_at,timestamp,views,likes,comments,duration,caption,thumbnail
DbDrlcuhrrS,https://www.instagram.com/reel/DbDrlcuhrrS/,clips,2026-07-21T14:00:06.000Z,1784642406,,34,3,,Você só precisa de 1 vídeo… só 1  Segue o @michamenezes,https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.82787-15/753241695_18361519279240868_510139962994499556_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzk0NjE4OTM4Nzk3MjY1NTgyNjE4MzYxNTE5Mjc2MjQwODY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=3KveAimW_qsQ7kNvwHGD1v9&_nc_oc=Ado3iB731Tj6VhGKJpTJksPg5ihJrf4gj4cvaHYH7Xh34kIbw-PiuK3SKRhp-ZHwNlA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=cwCgGV2qO4ExBNtUBoqtIQ&_nc_ss=7a22e&oh=00_AQCtJgpdcPJCbW93h1bQxrk0ur6pdO-Jx4Kclo3z0T9ywA&oe=6A6584E9
DbDkssKhN5S,https://www.instagram.com/reel/DbDkssKhN5S/,clips,2026-07-21T13:00:07.000Z,1784638807,,29,21,,"Vou te mostrar como se posicionar como autoridade, sem precisar beber água na taça.  E vamos construir juntos o seu plano de conteúdo que transforma seu perfil em um ímã de clientes de alto valor. Produzindo um conteúdo que cabe na sua agenda corrida  Comente DESAFIO que eu te conto no direct",https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.71878-15/752153302_2124674075147315_2234680703609436774_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzk0NjE1OTA5OTI1OTE4MjY3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=tPDLaZmMgGIQ7kNvwH0hWEq&_nc_oc=AdqFbq4Cm_Az9Uy4TF77pgQTZRiuogPfZfem5HGkS4Ei8dxrjh4gYWdnbLvRPk5hqmQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=cwCgGV2qO4ExBNtUBoqtIQ&_nc_ss=7a22e&oh=00_AQDC8M9izKpCttzATa5QtW04RssYB1-H4GDkax5EMqTsJw&oe=6A658E63
DbGCn5MBjMe,https://www.instagram.com/reel/DbGCn5MBjMe/,clips,2026-07-21T12:00:02.000Z,1784635202,,777,32,,Segue o @michamenezes pra aprender a produzir conteúdos mais leves e autênticos   Ignore as visualizações… e apenas poste,https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/752551085_1065347409342445_1976930547330767647_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzk0Njg1MzY2MDk5NDQ1MDIwNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=nTCxTae7dNEQ7kNvwHstoTg&_nc_oc=AdrjtMVQfbLPk1-DRZQjXc81ZeObSr8r3yQGhd2LTt1N6SjTZ9ZnhsEwEAow70k7ziI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=cwCgGV2qO4ExBNtUBoqtIQ&_nc_ss=7a22e&oh=00_AQDOR38aKgL1MF9uayOA_4g1sjhO3s4WjZSX_Wcm8nQmLg&oe=6A659357
DbBGw82BwlF,https://www.instagram.com/reel/DbBGw82BwlF/,clips,2026-07-20T14:00:08.000Z,1784556008,,352,90,,Gente bonita pode gravar vídeo sem se arrumar,https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/752576130_1041623568227587_5192157201029693698_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzk0NTQ2NDUwMDY5ODE1NTMzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Tvi4e-7oFU8Q7kNvwHvfy8U&_nc_oc=AdpkAVjCovvDx-1ZIz5xjdorOYt1gmJrFnHKikbF51YqOzwJ78Ksz3dPTfjnQ9Ca8PI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=cwCgGV2qO4ExBNtUBoqtIQ&_nc_ss=7a22e&oh=00_AQDqAdTsOwEc-N7ESLKJaju7Tl8BqFxW27ejE_lr8A6vKA&oe=6A659BE9
DbA4-vWhfa_,https://www.instagram.com/reel/DbA4-vWhfa_/,clips,2026-07-20T12:00:18.000Z,1784548818,,2721,43,,Essa semana tá liberado…,https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.71878-15/748343452_1506440338163814_805364109338114380_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzk0NTQwMzg3NTYzMjQ3Nzg4Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=nhHyRmcM_QwQ7kNvwFcSQ8T&_nc_oc=Adqk_q80d64T_HNstKszerclTgyaUImniqix0iUMZLS29LUBEC4XFFqhVD6E7N28oGI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=cwCgGV2qO4ExBNtUBoqtIQ&_nc_ss=7a22e&oh=00_AQB2Sa6bnjddmGby6JU22H2hgJ26I2Dv1F693olaY_VbZw&oe=6A65A8B2
Da_WqzTPcuP,https://www.instagram.com/reel/Da_WqzTPcuP/,clips,2026-07-19T21:42:37.000Z,1784497357,,178,11,,Domingou,https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.82787-15/752699231_18361419073240868_4813882360769864474_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzk0NDk3MTQ5NjkyNDc2MDk3NTE4MzYxNDE5MDY3MjQwODY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEzMjAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=53b7oJ_eCksQ7kNvwGc7lVY&_nc_oc=Adq70u6UlRzUdQI-iXRCKksgplGQZxMkfNtaC44tHCcXHs8PRDMCl2NW_ocSAuGQewM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=9G_P-JX23Og-NrxhGIZjvA&_nc_ss=7a22e&oh=00_AQAT0T0buLRID3AYwoMWGdpxa9MYA_wwnLQp00RImJcKxw&oe=6A659AEF
Da7yzjmhtBh,https://www.instagram.com/reel/Da7yzjmhtBh/,clips,2026-07-18T12:30:07.000Z,1784377807,,718,85,,Será que ainda existem Lauras?,https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.71878-15/751241356_830139380053330_1326203793639917808_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzk0Mzk2OTM0MzkzOTIwMzE2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=nGXpKNrJmfoQ7kNvwFKZJ43&_nc_oc=AdqZvJ8EeD5XptzKiuNB4iiZ5u1R0ylobTzFIQ4dpIvr1ld5HUn_DbjazIXPXx2q8xU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=9G_P-JX23Og-NrxhGIZjvA&_nc_ss=7a22e&oh=00_AQCv-s_R_KoCfK0X4W9Y9GS2iE0KIP1VncveD5jh-CyvfA&oe=6A65881B
Da5YaI0he3C,https://www.instagram.com/reel/Da5YaI0he3C/,clips,2026-07-17T14:00:06.000Z,1784296806,,354,22,,"Postar dá vergonha, mas é só até bater os primeiro vídeo com 500 mil visualizações. Mas pra chegar neste dia, você precisa continuar postando…   Segue o @michamenezes",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.82787-15/750903853_18361021633240868_3205140652269844443_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzk0MzI5MDI5ODAzMzM2ODUxNDE4MzYxMDIxNjI3MjQwODY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=v-nFlsh0I_UQ7kNvwEshhJJ&_nc_oc=AdpzR5vi2WKnJ1NzqAEloG3MjU3H09K6PTOo65nua2hjhxtdWTe_b6Y5a2nmn0F8Jd0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=9G_P-JX23Og-NrxhGIZjvA&_nc_ss=7a22e&oh=00_AQCx-6OzjBHsA3T1a9rNNCapxMzJoNiY1L1y5mKuglmBxg&oe=6A65A9E3
Da5Re-cB-Kl,https://www.instagram.com/reel/Da5Re-cB-Kl/,clips,2026-07-17T13:00:07.000Z,1784293207,,295,71,,"Se você é bonita, grave vídeos neste enquadramento pra viralizar",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/748327039_1698098644741176_4787896564083141422_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzk0MzI1OTg0NDE1Njg0MjY2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=U93mW_2i9AkQ7kNvwGE1IwN&_nc_oc=AdrryKWXiZYH0pXsRim2Wn8Zx7iN4MKMIwPtLrc2zUz5E-cjVSxRVnW4d8xoRO_q6zQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=9G_P-JX23Og-NrxhGIZjvA&_nc_ss=7a22e&oh=00_AQBWHEPyLitf3PHm0Ue3r1XX_UH3BIaZqIQPdIBxDK3Hjg&oe=6A65AA78
Da5G_3LvMYW,https://www.instagram.com/reel/Da5G_3LvMYW/,clips,2026-07-17T11:29:00.000Z,1784287740,,748,8,,Tenha amigos ambiciosos…,https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/750643858_1776329387129699_2596482511336301613_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzk0MzIxMzcyNTU5ODQwMjA3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=YgsMEWXkuZ8Q7kNvwHJnc4h&_nc_oc=AdoLqEYc_iJOQ16J_TnMHtrFMd7gT85TYz9Dfphu92E_Z_chksV2yD4PaxSiZ4j8YMc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=9G_P-JX23Og-NrxhGIZjvA&_nc_ss=7a22e&oh=00_AQDLB1ewbqnmRRpziGpQqp1YljTBQhHQeI2FPbUF-Edhhg&oe=6A65ACBD
